站名,座標,緯度,經度
五塊厝,24.87287+121.26279,24.87287,121.26279
三石里,25.07615+121.25319,25.07615,121.25319
楊梅高中,24.92155+121.14631,24.92155,121.14631
華勛街141巷,24.95035+121.26013,24.95035,121.26013
五號坡,24.99881+121.19413,24.99881,121.19413
高新街口,24.92492+121.14529,24.92492,121.14529
水圳頭,24.98387+121.20736,24.98387,121.20736
上公西,25.06395+121.36101,25.06395,121.36101
捷運新莊站(地政事務所),25.03698+121.45197,25.03698,121.45197
梅高路二段49巷,24.9374+121.14459,24.9374,121.14459
松鏡社區,24.94097+121.14664,24.94097,121.14664
顯伯公,24.94647+121.14508,24.94647,121.14508
拔仔林,25.07795+121.25707,25.07795,121.25707
和平路645巷,24.94738+121.13573,24.94738,121.13573
大眾駕訓班,24.94305+121.13195,24.94305,121.13195
上田里10鄰,24.93913+121.12812,24.93913,121.12812
上田國小,24.93737+121.126,24.93737,121.126
電研裕榮路,24.95645+121.16721,24.95645,121.16721
普仁(中原夜市),24.95396+121.23777,24.95396,121.23777
桃園監理站,24.97877+121.30405,24.97877,121.30405
育青駕訓班,24.97433+121.30546,24.97433,121.30546
建國國中,24.97767+121.30744,24.97767,121.30744
迴龍郵局,25.01672+121.40044,25.01672,121.40044
大慶蓮莊,25.01663+121.40071,25.01663,121.40071
半嶺一,25.002+121.35167,25.002,121.35167
地磅,24.99817+121.34444,24.99817,121.34444
武陵高中,24.98843+121.28526,24.98843,121.28526
趙厝,25.04648+121.26593,25.04648,121.26593
磚窯,24.93326+121.09377,24.93326,121.09377
聯華公司,24.93439+121.09135,24.93439,121.09135
福德,24.93508+121.08665,24.93508,121.08665
劉厝,25.03761+121.19434,25.03761,121.19434
富岡口,24.93504+121.0848,24.93504,121.0848
富岡,24.9347+121.08331,24.9347,121.08331
大井頭,24.93615+121.08257,24.93615,121.08257
新明,24.93551+121.08044,24.93551,121.08044
梅花新城,24.93169+121.07537,24.93169,121.07537
水塔,24.93049+121.07287,24.93049,121.07287
下埤,24.9306+121.0682,24.9306,121.0682
石埤,24.92939+121.06388,24.92939,121.06388
徐厝,24.92705+121.06154,24.92705,121.06154
高正鋼鐵,25.05009+121.38167,25.05009,121.38167
縣界,24.92516+121.06024,24.92516,121.06024
北門新村,25.00123+121.30995,25.00123,121.30995
前光華,24.66317+121.39864,24.66317,121.39864
桃園酒廠,25.05534+121.37605,25.05534,121.37605
蘆竹,25.04945+121.26616,25.04945,121.26616
蘆竹國小,25.05034+121.26679,25.05034,121.26679
理嘉公司,25.05292+121.26836,25.05292,121.26836
永豐餘,25.05439+121.26858,25.05439,121.26858
頂水尾,25.05575+121.26879,25.05575,121.26879
華夏公司,25.05787+121.26805,25.05787,121.26805
水尾(富國路三段),25.0616+121.26701,25.0616,121.26701
文化路717巷口,24.85145+121.24926,24.85145,121.24926
龍潭大池(神龍路),24.86228+121.21224,24.86228,121.21224
中正北龍路口(龍潭站),24.86772+121.21568,24.86772,121.21568
民權路口,24.95833+121.2176,24.95833,121.2176
北門口,24.99918+121.31088,24.99918,121.31088
五權國小,25.02334+121.23081,25.02334,121.23081
會稽國小後門,25.02125+121.31014,25.02125,121.31014
楊梅三民公園,24.90652+121.17409,24.90652,121.17409
竹圍福元宮,25.10717+121.24261,25.10717,121.24261
新莊國民運動中心,25.03964+121.45019,25.03964,121.45019
桃園公車站,24.99026+121.31202,24.99026,121.31202
聖保祿醫院,24.98156+121.31257,24.98156,121.31257
福德宮,24.96058+121.25287,24.96058,121.25287
萬壽茶專路口,25.00128+121.35447,25.00128,121.35447
龍安國小,24.99235+121.27158,24.99235,121.27158
高鐵桃園站,25.01391+121.21404,25.01391,121.21404
山鼻,25.0785+121.28563,25.0785,121.28563
下溪口台,24.80565+121.34529,24.80565,121.34529
李厝,25.02843+121.21281,25.02843,121.21281
六福油管路口,25.05833+121.29273,25.05833,121.29273
六福路口,25.05772+121.29084,25.05772,121.29084
新富站,24.93056+121.06675,24.93056,121.06675
楊梅工業區,24.9096+121.17259,24.9096,121.17259
怡聯貨櫃場,24.91646+121.17574,24.91646,121.17574
上湖二路埤塘,24.9014+121.09006,24.9014,121.09006
篤行五村,24.96474+121.26237,24.96474,121.26237
中正國小,24.96278+121.2618,24.96278,121.2618
保和中藥,25.06432+121.19712,25.06432,121.19712
榮民永褔路口,24.96026+121.26099,24.96026,121.26099
紅透天社區,24.96221+121.26019,24.96221,121.26019
榮民路165巷口,24.96655+121.26089,24.96655,121.26089
高鐵南中正路口站,24.98522+121.18704,24.98522,121.18704
阿姆坪碼頭,24.81586+121.30454,24.81586,121.30454
桃園北區客家會館,24.9339+121.26094,24.9339,121.26094
尖山路300號,24.94425+121.34061,24.94425,121.34061
尖山路300-3號,24.94409+121.34039,24.94409,121.34039
經國轉運站(水汴一路口),25.03223+121.30036,25.03223,121.30036
舒潔公司,25.07537+121.18755,25.07537,121.18755
華通公司,25.07663+121.18574,25.07663,121.18574
大同宿舍,25.08021+121.18563,25.08021,121.18563
許厝,25.0822+121.18552,25.0822,121.18552
鄭厝,25.08363+121.1869,25.08363,121.1869
內海社區,25.08453+121.18884,25.08453,121.18884
內海廟口,25.08506+121.18981,25.08506,121.18981
崙腳,25.07982+121.18256,25.07982,121.18256
汽電公司,25.07795+121.17542,25.07795,121.17542
潮音橋頭,25.07861+121.17336,25.07861,121.17336
潮音廟口,25.07664+121.1695,25.07664,121.1695
公西站(華亞園區),25.05299+121.37433,25.05299,121.37433
下厝,25.07702+121.18045,25.07702,121.18045
頂圳股,25.07299+121.20564,25.07299,121.20564
